2015/05/23 02:11:25 INFO  [main]  RegisterServer: start socket server on [us-c1mm81xudv30:37460]
2015/05/23 02:11:26 INFO  [pool-1-thread-5]  SocketProxy: starting proxy
2015/05/23 02:11:26 INFO  [pool-1-thread-3]  SocketProxy: starting proxy
2015/05/23 02:11:26 INFO  [pool-1-thread-6]  SocketProxy: starting proxy
2015/05/23 02:11:26 INFO  [pool-1-thread-4]  SocketProxy: starting proxy
2015/05/23 02:11:26 INFO  [pool-1-thread-2]  SocketProxy: starting proxy
2015/05/23 02:11:26 INFO  [pool-1-thread-4]  AllReducableOperator: connecting to the distributed environment
2015/05/23 02:11:26 INFO  [pool-1-thread-6]  AllReducableOperator: connecting to the distributed environment
2015/05/23 02:11:26 INFO  [pool-1-thread-3]  AllReducableOperator: connecting to the distributed environment
2015/05/23 02:11:26 INFO  [pool-1-thread-5]  AllReducableOperator: connecting to the distributed environment
2015/05/23 02:11:26 INFO  [pool-1-thread-2]  AllReducableOperator: connecting to the distributed environment
2015/05/23 02:11:26 INFO  [pool-1-thread-5]  RegisterClient: sending environment to registration server
2015/05/23 02:11:26 INFO  [pool-1-thread-3]  RegisterClient: sending environment to registration server
2015/05/23 02:11:26 INFO  [pool-1-thread-2]  RegisterClient: sending environment to registration server
2015/05/23 02:11:26 INFO  [pool-1-thread-4]  RegisterClient: sending environment to registration server
2015/05/23 02:11:26 INFO  [pool-1-thread-6]  RegisterClient: sending environment to registration server
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: server is up
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: receiving from client...
2015/05/23 02:11:26 INFO  [pool-1-thread-2]  RegisterClient: receiving environment from registration server
2015/05/23 02:11:26 INFO  [pool-1-thread-3]  RegisterClient: receiving environment from registration server
2015/05/23 02:11:26 INFO  [pool-1-thread-4]  RegisterClient: receiving environment from registration server
2015/05/23 02:11:26 INFO  [pool-1-thread-6]  RegisterClient: receiving environment from registration server
2015/05/23 02:11:26 INFO  [pool-1-thread-5]  RegisterClient: receiving environment from registration server
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: receiving from client...
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: receiving from client...
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: receiving from client...
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: receiving from client...
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: sending to client...
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: sending to client...
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: sending to client...
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: sending to client...
2015/05/23 02:11:26 INFO  [pool-1-thread-6]  SocketProxy: waiting for incoming connection
2015/05/23 02:11:26 INFO  [pool-1-thread-1]  RegisterServer: sending to client...
2015/05/23 02:11:26 INFO  [pool-1-thread-4]  SocketProxy: waiting for incoming connection
2015/05/23 02:11:26 INFO  [pool-1-thread-5]  SocketProxy: waiting for incoming connection
2015/05/23 02:11:26 INFO  [pool-1-thread-3]  SocketProxy: waiting for incoming connection
2015/05/23 02:11:26 INFO  [pool-1-thread-2]  HelloWorld$1: before all reduce, sum = 1
2015/05/23 02:11:26 INFO  [pool-1-thread-2]  SocketProxy: receiving from child
2015/05/23 02:11:26 INFO  [pool-1-thread-6]  HelloWorld$1: before all reduce, sum = 5
2015/05/23 02:11:26 INFO  [pool-1-thread-6]  SocketProxy: sending to father
2015/05/23 02:11:26 INFO  [pool-1-thread-4]  HelloWorld$1: before all reduce, sum = 3
2015/05/23 02:11:26 INFO  [pool-1-thread-4]  SocketProxy: sending to father
2015/05/23 02:11:26 INFO  [pool-1-thread-5]  HelloWorld$1: before all reduce, sum = 4
2015/05/23 02:11:26 INFO  [pool-1-thread-5]  SocketProxy: sending to father
2015/05/23 02:11:26 INFO  [pool-1-thread-3]  HelloWorld$1: before all reduce, sum = 2
2015/05/23 02:11:26 INFO  [pool-1-thread-3]  SocketProxy: receiving from child
2015/05/23 02:11:26 INFO  [pool-1-thread-4]  SocketProxy: receiving from father
2015/05/23 02:11:26 INFO  [pool-1-thread-6]  SocketProxy: receiving from father
2015/05/23 02:11:26 INFO  [pool-1-thread-3]  SocketProxy: receiving from child
2015/05/23 02:11:26 INFO  [pool-1-thread-3]  SocketProxy: sending to father
2015/05/23 02:11:26 INFO  [pool-1-thread-2]  SocketProxy: receiving from child
2015/05/23 02:11:26 INFO  [pool-1-thread-5]  SocketProxy: receiving from father
2015/05/23 02:11:26 INFO  [pool-1-thread-3]  SocketProxy: receiving from father
2015/05/23 02:11:26 INFO  [pool-1-thread-2]  SocketProxy: sending to child
2015/05/23 02:11:26 INFO  [pool-1-thread-2]  SocketProxy: sending to child
2015/05/23 02:11:26 INFO  [pool-1-thread-2]  HelloWorld$1: after all reduce, sum = 15
